,name,description,short_name,id
532,Programas balance transfronterizo con Francia importación,"El proceso de activación de ofertas de energías procedentes de reservas de sustitución (RR, por sus siglas en inglés) tiene por objeto restablecer o mantener el nivel requerido de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación terciaria y secundaria, respectivamente), al objeto de preparar el sistema para posibles desbalances que puedan registrarse posteriormente. La asignación de energía de balance de tipo RR se realiza a través de la plataforma europea de RR (LIBRA) en aplicación del artículo 19 del Reglamento (UE) 2017/2195 sobre el Balance Eléctrico (EBGL).

Este servicio se encuentra regulado en el P.O.3.3

En concreto este indicador se refiere a programas de intercambio de energías de balance, en [MWh], de tipo RR en la frontera con Francia en sentido FR->ES para cada hora. Este indicador recoge los datos de asignación de energías de balance transfronterizas realizadas en el pasado a través de la plataforma BALIT.

Publicación: En la hora siguiente a la publicación de la sesión de terciaria en la que el servicio es utilizado y actualizados al final del día.",Francia importación,535
533,Programas balance transfronterizo con Francia exportación,"El proceso de activación de ofertas de energías procedentes de reservas de sustitución (RR, por sus siglas en inglés) tiene por objeto restablecer o mantener el nivel requerido de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación terciaria y secundaria, respectivamente), al objeto de preparar el sistema para posibles desbalances que puedan registrarse posteriormente. La asignación de energía de balance de tipo RR se realiza a través de la plataforma europea de RR (LIBRA) en aplicación del artículo 19 del Reglamento (UE) 2017/2195 sobre el Balance Eléctrico (EBGL).

Este servicio se encuentra regulado en el P.O.3.3

En concreto este indicador se refiere a programas de intercambio de energías de balance, en [MWh], de tipo RR en la frontera con Francia en sentido ES->FR para cada hora. Este indicador recoge los datos de asignación de energías de balance transfronterizas realizadas en el pasado a través de la plataforma BALIT.

Publicación: En la hora siguiente a la publicación de la sesión de terciaria en la que el servicio es utilizado y actualizados al final del día.",Francia exportación,536
536,Programas balance transfronterizo con Portugal importación,"El proceso de activación de ofertas de energías procedentes de reservas de sustitución (RR, por sus siglas en inglés) tiene por objeto restablecer o mantener el nivel requerido de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación terciaria y secundaria, respectivamente), al objeto de preparar el sistema para posibles desbalances que puedan registrarse posteriormente. La asignación de energía de balance de tipo RR se realiza a través de la plataforma europea de RR (LIBRA) en aplicación del artículo 19 del Reglamento (UE) 2017/2195 sobre el Balance Eléctrico (EBGL).

Este servicio se encuentra regulado en el P.O.3.3

En concreto este indicador se refiere a programas de intercambio de energías de balance, en [MWh], de tipo RR en la frontera con Portugal en sentido PT->ES para cada hora. Este indicador recoge los datos de asignación de energías de balance transfronterizas realizadas en el pasado a través de la plataforma BALIT.

Publicación: En la hora siguiente a la publicación de la sesión de terciaria en la que el servicio es utilizado y actualizados al final del día.",Portugal importación,539
537,Programas balance transfronterizo con Portugal exportación,"El proceso de activación de ofertas de energías procedentes de reservas de sustitución (RR, por sus siglas en inglés) tiene por objeto restablecer o mantener el nivel requerido de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación terciaria y secundaria, respectivamente), al objeto de preparar el sistema para posibles desbalances que puedan registrarse posteriormente. La asignación de energía de balance de tipo RR se realiza a través de la plataforma europea de RR (LIBRA) en aplicación del artículo 19 del Reglamento (UE) 2017/2195 sobre el Balance Eléctrico (EBGL).

Este servicio se encuentra regulado en el P.O.3.3

En concreto este indicador se refiere a programas de intercambio de energías de balance, en [MWh], de tipo RR en la frontera con Portugal en sentido ES->PT para cada hora. Este indicador recoge los datos de asignación de energías de balance transfronterizas realizadas en el pasado a través de la plataforma BALIT.

Publicación: En la hora siguiente a la publicación de la sesión de terciaria en la que el servicio es utilizado y actualizados al final del día.",Portugal exportación,540
542,Demanda programada,"Es la demanda de energía programada calculada mediante los intercambios internacionales programados y los programas de los grupos de generación a los que se les haya asignado suministro de energía en la casación de los mercados diario e intradiario, así como en los mercados de energías de balance RR y regulación terciaria. Estos dos últimos son gestionados por RE teniendo en cuenta la evolución de la demanda.

Los datos representados en este indicador se refieren a datos Peninsulares.

Publicación: diariamente a las 0:00 horas con la información del día D y a las 13:30 horas con las tres primeras horas del día D+1. Un valor cada cinco minutos.",Demanda programada,545
637,Necesidades cubiertas de energías de balance RR subir,"El mecanismo de asignación de energías de balance RR es un servicio que tiene por objeto restablecer o mantener el nivel de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación secundaria y terciaria) requerido al objeto de prepararse para desequilibrios adicionales del sistema.

La asignación de energía de balance RR se realiza a través de una plataforma de balance europea (LIBRA) en aplicación del artículo 19 del Reglamento EB.

Este servicio se encuentra regulado en el P.O.-3.3.

En concreto este indicador se refiere a las necesidades de energías de balance de tipo RR cubiertas a subir por la plataforma europea de RR.

Este indicador da continuidad al antiguo asignación gestión de desvíos subir.

Publicación: en el día en curso cada hora para el periodo horario anterior y una vez al día antes de las 13:00 horas con la información del día anterior.",Necesidades cubiertas balance RR,666
638,Necesidades cubiertas de energías de balance RR bajar,"El mecanismo de asignación de energías de balance RR es un servicio que tiene por objeto restablecer o mantener el nivel de energías de recuperación de la frecuencia con activación manual y automática (energías de regulación secundaria y terciaria) requerido al objeto de prepararse para desequilibrios adicionales del sistema.

La asignación de energía de balance RR se realiza a través de una plataforma de balance europea (LIBRA) en aplicación del artículo 19 del Reglamento EB.

Este servicio se encuentra regulado en el P.O.-3.3.

En concreto este indicador se refiere a las necesidades de energías de balance de tipo RR cubiertas a bajar por la plataforma europea de RR.

Este indicador da continuidad al antiguo asignación gestión de desvíos bajar.

Publicación: en el día en curso cada hora para el periodo horario anterior y una vez al día antes de las 13:00 horas con la información del día anterior.",Necesidades cubiertas balance RR,667
641,Necesidad de Regulación Terciaria subir,"La regulación terciaria es un servicio complementario de oferta obligatoria, gestionado y retribuido por mecanismos de mercado. Tiene por objeto la restitución de la reserva de regulación secundaria que haya sido utilizada. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la valoración de las modificaciones programadas por regulación terciaria se realiza al precio marginal de las ofertas asignadas en cada periodo horario.

Este servicio se encuentra regulado en el P.O.-7.3

En concreto este indicador se refiere a las necesidades en potencia solicitadas de regulación terciaria a subir.

Publicación: diariamente con la información del día D-1 sobre las 5:00 horas.

 ",Necesidad Terciaria subir,672
642,Necesidad de Regulación Terciaria bajar,"La regulación terciaria es un servicio complementario de oferta obligatoria, gestionado y retribuido por mecanismos de mercado. Tiene por objeto la restitución de la reserva de regulación secundaria que haya sido utilizada. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la valoración de las modificaciones programadas por regulación terciaria se realiza al precio marginal de las ofertas asignadas en cada periodo horario.

Este servicio se encuentra regulado en el P.O.-7.3

En concreto este indicador se refiere a las necesidades en potencia solicitadas de regulación terciaria a bajar.

Publicación: diariamente con la información del día D-1 sobre las 5:00 horas.

 ",Necesidad Terciaria bajar,673
643,Energía regulación terciaria a bajar asignada de activación programada (AP),"La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.

Este servicio se encuentra regulado en el P.O. 7.3

En concreto este indicador se refiere a la asignación de energía de regulación terciaria programada a bajar.

Publicación: a más tardar, 30 minutos después del correspondiente periodo de programación.",Terciaria bajar,674
644,Energía regulación terciaria a subir asignada de activación programada (AP),"La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.

Este servicio se encuentra regulado en el P.O. 7.3

En concreto este indicador se refiere a la asignación de energía de regulación terciaria programada a subir.

Publicación: a más tardar, 30 minutos después del correspondiente periodo de programación cuarto-horario.",Terciaria subir,675
645,Precio marginal regulación terciaria a bajar de activación programada (AP),"La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.

Este servicio se encuentra regulado en el P.O. 7.3

En concreto este indicador se refiere al precio marginal de la activación programada de la regulación terciaria a bajar.

Publicación: a más tardar, 30 minutos después del correspondiente periodo de programación.",Terciaria bajar,676
646,Precio marginal regulación terciaria a subir de activación programada (AP),"La regulación terciaria es uno de los servicios de balance de activación de reservas de potencia activa que tiene por objeto mantener la frecuencia y el equilibrio generación-demanda del sistema. Este servicio, de activación manual en un tiempo igual o inferior a 15 minutos, es gestionado por el OS mediante mecanismos del mercado y permite la restitución del uso de reserva automática de regulación secundaria. La asignación del servicio de regulación terciaria se realiza teniendo en cuenta las ofertas enviadas a tal fin por las Unidades de Programación habilitadas para la prestación de este servicio; la energía de regulación terciaria asignada será valorada al precio marginal resultante del proceso de asignación en cada período de programación.

Este servicio se encuentra regulado en el P.O. 7.3

En concreto este indicador se refiere al precio marginal de la activación programada de la regulación terciaria a subir.

Publicación: a más tardar, 30 minutos después del correspondiente periodo de programación.",Terciaria subir,677
